State,Account Length,Area Code,International Plan,VMail Plan,VMail Message,Day Mins,Day Calls,Eve Mins,Eve Calls,Night Mins,Night Calls,International Mins,International calls,CustServ Calls,Churn,CHURN-FLAG
16,0.7279560879553464,415,0,1,1.2049686044590215,1.511387399686831,0.4794668853059894,-0.04980411892575518,-0.039554727214513835,0.855482295100876,-0.44909504300406944,-0.09041601033377343,-0.6041840490399722,-0.42005089917258404,0,0.007185531
35,0.19580592096741614,415,0,1,1.2775745700205439,-0.38510068781193574,1.1396098114845392,-0.08534241687856102,0.1607223726058078,1.044945340839499,0.15190200350522398,1.2215025709797978,-0.6041840490399722,-0.42005089917258404,0,0.000792961
31,0.9560204452358879,415,0,0,-0.6101805345790322,1.1137662257861232,0.6825877856686201,-1.475076910506701,0.5112072972913707,-0.7481172982126215,0.20198509071433177,0.689643686663485,0.17540827230192751,-1.1796366119620671,0,0.000741767
35,-0.3870252143050789,408,1,0,-0.6101805345790322,2.1398853842395615,-1.50096189322966,-2.5842458939811115,-0.5903167517203983,-0.07816034266264604,-0.549261217422285,-1.2959628147840823,0.9550005936438273,0.33953481361689897,0,0.05837355
36,-0.6150895715856204,415,1,0,-0.6101805345790322,-0.2916505501670691,0.6318075605779624,-0.9681885554956295,1.1120385967523356,-0.2734830702282365,1.053397573269164,-0.054958751379352716,-0.6041840490399722,1.099120526406382,0,0.011516299
1,0.4745512465325225,510,1,0,-0.6101805345790322,0.747295097767038,-0.12989581578190268,0.3841372034453462,0.06058382269564698,0.05856556663326727,0.9031483116418407,-1.4023345916473449,0.5652044329728774,-1.1796366119620671,0,0.044950318
19,0.5505726989593697,510,0,1,1.1323626388974994,0.6520126044820754,-0.6376980666884794,2.7764257866894795,0.41106874738120985,0.22849633961533075,0.9031483116418407,-0.9768474841942946,0.9550005936438273,1.099120526406382,0,0.018530453
24,1.2094252866587119,415,1,0,-0.6101805345790322,-0.46938904725632524,-1.0947200925043985,-1.8136259594255346,-0.28990110198991587,0.21287052141008383,-0.1986796069585305,-1.1186765200119781,0.5652044329728774,-1.1796366119620671,0,0.027819267
18,0.4492107623902401,408,0,0,-0.6101805345790322,0.03450875376991701,-0.18067604087256037,2.834409325454584,-0.9908709513610416,0.29099961243632005,-0.4991781302131772,-0.5513603767412447,-0.21438788836902237,-0.42005089917258404,0,0.008768335
49,1.0573823818050176,415,1,1,2.0762401911972876,1.3922842830806283,-0.8408189670511101,0.41032331772636105,0.5612765722464511,2.4512689793117497,-0.14859651974942273,0.33507109711927646,0.17540827230192751,-1.1796366119620671,0,0.1526324
15,-0.8684944130084444,415,0,0,-0.6101805345790322,-0.9806162708429493,1.8505329627537466,0.5319017054596438,-0.8406631264958003,0.1542737031404067,0.5525667011780863,0.8669299814355892,0.5652044329728774,1.8587062391958649,1,0.011104505
39,-0.6404300557279028,415,0,0,-0.6101805345790322,0.09314413425297044,1.3427307118471699,-0.685752608607542,2.413839745584426,-0.0957393881435493,-0.29884578137674606,-0.4095313409235612,0.17540827230192751,-1.1796366119620671,0,0.0005499232
12,1.7415754536466421,408,0,0,-0.6101805345790322,-0.9861133377632353,-0.23145626596321803,-1.7799580982070868,-1.4414944259567652,-1.168061162478641,1.4039791837329185,0.33507109711927646,-0.993980209710922,-0.42005089917258404,0,0.001636977
26,-0.10827988873997257,510,0,0,-0.6101805345790322,-0.47671846981670707,-0.6376980666884794,0.8891551217220592,-1.2412173261364436,-0.16800879734281754,0.7528990500145174,0.7251009456179063,0.17540827230192751,1.099120526406382,0,0.0010598091
12,-0.9445158654352915,415,0,0,-0.6101805345790322,-1.134534144610965,-1.5517421183203175,2.0039354153995443,-1.1911480511813632,0.040986521152364015,-0.048430345331207166,1.0087590172532728,0.5652044329728774,1.8587062391958649,0,0.0133353835
34,1.5641920646506655,415,0,0,-0.6101805345790322,2.7537245236715293,-1.7040827935922906,2.2022017092415136,-0.13969327712467466,-0.7871818437257396,1.4039791837329185,-1.7214499222371322,1.7345929149857269,1.8587062391958649,1,0.9843316
13,-0.3616847301627965,408,0,1,1.350180535582066,0.25255907494127283,1.952093412935062,1.5120105542633384,-0.4901782018102375,-2.1798328912683997,-1.250424438349794,1.256959829934219,-0.21438788836902237,-0.42005089917258404,0,0.004863968
46,-0.15896085702453736,510,0,0,-0.6101805345790322,0.14811480345583322,0.6825877856686201,0.3392467218207494,0.5612765722464511,-1.3926822991790702,1.053397573269164,-0.7641039304677697,-0.6041840490399722,1.099120526406382,0,0.00028956172
45,-0.5897490874433381,510,0,1,1.7858163289511988,0.12979124705487896,-1.7548630186829484,0.23824313816540718,-1.7419100756872476,-0.6875672526672886,0.4023174395507629,-0.09041601033377343,0.17540827230192751,-0.42005089917258404,0,0.0031376907
43,-0.6657705398701852,415,0,0,-0.6101805345790322,0.7656186541679922,-0.5361376165071641,-0.7586996412475118,-0.5903167517203983,-0.15824266096453804,-1.3005075255589018,0.973301758298852,-0.993980209710922,-0.42005089917258404,0,0.00057108107
9,1.2094252866587119,415,0,0,-0.6101805345790322,-0.5042038044181385,0.8349284609405931,0.7413906197077617,-0.33997037694499627,0.1542737031404067,1.6543946197784576,0.12232754339275152,-0.21438788836902237,-1.1796366119620671,0,0.00052035035
